X_f	Fat	X_c	Collagen	X_w	Water
25.82272	0.94615				
26.07481	0.95968				
26.32692	0.97186				
26.57903	0.98268				
26.83115	0.9908				
27.0833	0.99485				
27.33542	1.00432				
27.5876	1.00297				
27.83982	0.99621				
28.09202	0.9908				
28.34419	0.9908				
28.59637	0.9908				
28.84857	0.98538				
29.1008	0.97727				
29.35299	0.97321				
29.60522	0.96374				
29.85747	0.95156				
30.00878	0.95021				
